NUR0084,Jean Miller,48,Male,28,Post Surgery,Murphy-Jones Hospital,Night,624.207.3839x9392,clarkjames@example.net,Chennai,Available
NUR0085,Barbara Dalton,58,Male,13,Elderly Care,"Williams, Nelson and Nichols Hospital",Night,780-214-4308x219,kimberly55@example.org,Bengaluru,Available
NUR0086,Allison James,45,Female,12,Pediatric Care,Hoover-Torres Hospital,Rotational,492.315.4040x65715,amy94@example.net,Mumbai,Available
NUR0087,Vincent Fowler,53,Male,29,Pregnancy,Sandoval Ltd Hospital,Rotational,473-699-2275x0973,aprilknox@example.com,Kolkata,Not Available
NUR0088,Eric Lee,60,Male,15,Post Pregnancy,"Lane, Henderson and Hardin Hospital",Day,370-560-1917x830,blackjohn@example.net,Chennai,Not Available
NUR0089,Richard Lewis,27,Female,4,Check Up,"Myers, Olson and Kane Hospital",Day,001-938-888-5914x87785,hillmichelle@example.org,Bengaluru,Available
NUR0090,Amber Campbell,41,Male,7,Post Surgery,Mason PLC Hospital,Night,347.738.7773x0932,raymondtate@example.org,Chennai,Not Available
NUR0091,Julie Harris,35,Male,31,Pregnancy,Owen LLC Hospital,Day,001-407-896-1938x541,andersonbeth@example.com,Mumbai,Not Available
NUR0092,Alec Bowman,49,Female,17,Post Surgery,Sanders-Davis Hospital,Night,606.804.1363x467,pennyrogers@example.com,Kolkata,Available
NUR0093,Tyler Austin,41,Female,21,Post Surgery,Donovan Inc Hospital,Day,385.842.7172x76528,jonesjonathan@example.org,Delhi,Not Available
NUR0094,Victor Larson,29,Male,1,Check Up,Cox LLC Hospital,Rotational,(580)793-6554x1704,collinsdavid@example.net,Chennai,Available
NUR0095,Jesse Mitchell,56,Female,7,Post Surgery,Jacobs-Hampton Hospital,Rotational,803-794-6824x37688,katiethompson@example.com,Kolkata,Available
NUR0096,Susan Hernandez,36,Female,17,Check Up,Jones-Hayes Hospital,Rotational,001-272-714-7839x17886,fpope@example.org,Mumbai,Not Available
NUR0097,Cynthia Johnson,46,Male,11,Post Pregnancy,"Sweeney, Burns and Castillo Hospital",Day,001-221-367-3844x017,ann14@example.net,Bengaluru,Available
NUR0098,Sarah Smith,39,Male,9,Elderly Care,Smith-Hayes Hospital,Day,657.661.3246,weaverchristina@example.com,Bengaluru,Not Available
NUR0099,Derrick Charles,31,Female,29,Post Pregnancy,"Patterson, Davis and Berger Hospital",Day,(525)340-0029,mathew15@example.net,Kolkata,Not Available
NUR0100,Cody Gentry,23,Female,9,Pediatric Care,Mcconnell-Collins Hospital,Rotational,410.927.3702x96685,williamsmark@example.net,Mumbai,Available
